index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
0,51174,852,53,25,18,0,0,0,0,0.15061583
1,51787,136,63,34,18,3,1,5,5,0.12459695
2,53921,852,53,25,19,1,5,1,1,0.13760318
3,53988,852,53,26,19,3,1,1,12,0.13135976
4,54466,136,62,33,19,2,2,7,7,0.1751457
5,56668,852,53,25,20,1,5,6,6,0.14651774
6,56735,852,53,26,20,1,5,1,1,0.137566
7,56802,852,53,27,20,3,1,1,12,0.13256493
8,56869,852,53,28,20,1,5,6,9,0.14205235
9,56878,852,62,28,20,0,4,4,4,0.16286421
10,56936,852,53,29,20,0,0,0,0,0.15156797
11,56945,136,62,29,20,0,4,4,4,0.16528298
12,56946,1098,63,29,20,0,4,4,4,0.16575316
13,56947,1098,64,29,20,0,0,4,10,0.15861937
14,57004,852,54,30,20,0,0,0,0,0.15482213
15,57005,852,55,30,20,2,4,7,7,0.1689471
16,57009,136,59,30,20,2,2,2,2,0.18206342
17,57012,136,62,30,20,0,4,4,4,0.16268216
18,57013,1098,63,30,20,0,4,4,4,0.16353177
19,57014,1098,64,30,20,0,4,4,4,0.16346246
20,57070,136,53,31,20,1,5,1,9,0.13915056
21,57071,852,54,31,20,0,0,0,0,0.15041319
22,57072,852,55,31,20,0,4,4,4,0.16718009
23,57074,852,57,31,20,0,4,4,4,0.16590467
24,57075,136,58,31,20,2,4,7,7,0.17458141
25,57076,136,59,31,20,2,4,7,7,0.17178328
26,57079,136,62,31,20,0,0,4,10,0.16070528
27,57080,1098,63,31,20,0,4,4,4,0.16387288
28,57137,136,53,32,20,3,1,1,12,0.13199396
29,57138,852,54,32,20,1,0,0,0,0.15025519
30,57143,136,59,32,20,2,4,7,7,0.16882999
31,57146,136,62,32,20,0,0,4,10,0.1610906
32,57147,136,63,32,20,2,4,7,4,0.16808815
33,57204,661,53,33,20,3,1,1,12,0.1317593
34,57206,661,55,33,20,0,0,4,10,0.15879656
35,57209,852,58,33,20,0,4,4,4,0.16586244
36,57210,978,59,33,20,2,4,7,7,0.17456242
37,57213,136,62,33,20,2,2,7,7,0.17577249
38,57214,136,63,33,20,2,2,2,2,0.17954634
39,57215,136,64,33,20,3,3,3,3,0.10432111
40,57271,661,53,34,20,3,1,5,12,0.1279483
41,57272,661,54,34,20,0,0,0,0,0.15092723
42,57273,661,55,34,20,0,4,4,4,0.16568781
