index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Chat-252
0,51174,852,53,25,18,3,3,7,4,0.004974713
1,51787,136,63,34,18,3,3,4,9,7.76e-05
2,53921,852,53,25,19,3,3,7,7,0.005733273
3,53988,852,53,26,19,3,3,7,7,0.006038758
4,54466,136,62,33,19,3,3,4,9,0.002626408
5,56668,852,53,25,20,1,1,1,10,0.01304266
6,56735,852,53,26,20,1,1,1,10,0.01472626
7,56802,852,53,27,20,1,1,1,1,0.011972019
8,56869,852,53,28,20,3,1,7,7,0.007415192
9,56878,852,62,28,20,1,4,5,8,0.023931876
10,56936,852,53,29,20,3,3,7,7,0.005598719
11,56945,136,62,29,20,1,4,5,8,0.02334433
12,56946,1098,63,29,20,3,1,7,1,0.009111056
13,56947,1098,64,29,20,0,0,0,0,-1.0
14,57004,852,54,30,20,1,4,5,5,0.01860754
15,57005,852,55,30,20,3,1,7,7,0.007196636
16,57009,136,59,30,20,3,1,7,1,0.008855999
17,57012,136,62,30,20,1,4,5,8,0.023980884
18,57013,1098,63,30,20,1,1,1,1,0.00999031
19,57014,1098,64,30,20,0,0,0,0,-1.0
20,57070,136,53,31,20,3,3,7,7,0.00683878
21,57071,852,54,31,20,1,4,5,8,0.020891892
22,57072,852,55,31,20,1,1,1,10,0.01449472
23,57074,852,57,31,20,1,4,5,8,0.024314059
24,57075,136,58,31,20,1,4,5,5,0.01943165
25,57076,136,59,31,20,3,1,1,1,0.009422506
26,57079,136,62,31,20,1,4,5,8,0.021164019
27,57080,1098,63,31,20,3,1,7,7,0.008118368
28,57137,136,53,32,20,3,3,7,7,0.006432292
29,57138,852,54,32,20,1,4,5,5,0.01868927
30,57143,136,59,32,20,1,1,1,1,0.011619566
31,57146,136,62,32,20,1,1,1,10,0.01433919
32,57147,136,63,32,20,3,3,7,4,0.004903552
33,57204,661,53,33,20,3,3,4,4,0.004347993
34,57206,661,55,33,20,2,4,3,12,0.029230548
35,57209,852,58,33,20,2,2,6,6,0.046146363
36,57210,978,59,33,20,1,1,1,10,0.013800713
37,57213,136,62,33,20,3,3,7,7,0.006557266
38,57214,136,63,33,20,3,3,4,9,0.002324083
39,57215,136,64,33,20,0,0,0,0,-1.0
40,57271,661,53,34,20,3,3,4,9,0.001559781
41,57272,661,54,34,20,3,3,4,4,0.004448379
42,57273,661,55,34,20,1,4,5,8,0.02163065
43,57274,661,56,34,20,1,4,5,5,0.017016856
44,57276,978,58,34,20,1,4,5,5,0.016809823
45,57277,978,59,34,20,3,1,7,7,0.007210143
46,57278,978,60,34,20,0,0,0,0,-1.0
47,57281,136,63,34,20,3,3,4,9,0.000820961
48,57339,661,54,35,20,3,3,4,9,0.000573573
49,57340,661,55,35,20,3,3,4,4,0.003743233
50,57341,661,56,35,20,3,3,7,4,0.004937759
51,57343,978,58,35,20,3,3,4,9,0.002236549
52,57344,978,59,35,20,3,3,4,9,0.002106066
53,59482,852,53,26,21,2,2,3,3,0.0372771
54,59549,852,53,27,21,2,2,3,3,0.03215842
55,59556,852,60,27,21,0,0,0,0,-1.0
56,59558,852,62,27,21,1,4,5,5,0.018201558
57,59560,1098,64,27,21,0,0,0,0,-1.0
58,59617,852,54,28,21,1,1,1,10,0.015133788
59,59623,852,60,28,21,0,0,0,0,-1.0
60,59624,852,61,28,21,1,1,1,1,0.011605455
61,59625,852,62,28,21,1,4,5,5,0.017452486
62,59627,1098,64,28,21,0,0,0,0,-1.0
63,59684,852,54,29,21,1,1,1,10,0.014632551
64,59685,852,55,29,21,3,3,7,7,0.006524711
65,59686,852,56,29,21,3,3,4,4,0.004175591
66,59687,852,57,29,21,1,1,1,1,0.010197222
67,59688,852,58,29,21,3,1,7,7,0.007778611
68,59689,852,59,29,21,3,1,7,7,0.008131813
69,59690,852,60,29,21,0,0,0,0,-1.0
70,59691,136,61,29,21,1,1,1,1,0.011012562
71,59692,136,62,29,21,1,4,5,8,0.022032257
72,59693,1098,63,29,21,1,1,1,10,0.014092584
73,59694,1098,64,29,21,0,0,0,0,-1.0
74,59750,136,53,30,21,3,3,7,4,0.005176599
75,59751,852,54,30,21,1,4,5,10,0.016298098
76,59752,852,55,30,21,3,1,7,7,0.008446886
77,59753,852,56,30,21,3,3,7,7,0.006104144
78,59754,852,57,30,21,1,1,1,10,0.014292705
79,59755,852,58,30,21,1,1,1,1,0.012570936
80,59756,136,59,30,21,3,1,7,7,0.008595457
81,59757,136,60,30,21,0,0,0,0,-1.0
82,59758,136,61,30,21,1,4,3,8,0.024894029
83,59759,136,62,30,21,2,2,3,3,0.032128118
84,59760,1098,63,30,21,1,4,5,5,0.019100284
85,59761,136,64,30,21,0,0,0,0,-1.0
86,59762,1098,65,30,21,0,0,0,0,-1.0
87,59817,136,53,31,21,3,3,7,7,0.005473828
88,59818,852,54,31,21,1,4,5,5,0.020535307
89,59819,852,55,31,21,1,4,5,5,0.02008924
90,59820,852,56,31,21,1,1,1,10,0.014306233
91,59821,852,57,31,21,2,2,3,3,0.037082117
92,59822,136,58,31,21,1,4,3,12,0.025799217
93,59823,136,59,31,21,1,1,1,1,0.012212956
94,59824,136,60,31,21,0,0,0,0,-1.0
95,59825,136,61,31,21,1,4,3,8,0.025214361
96,59826,136,62,31,21,1,4,3,12,0.02816201
97,59827,136,63,31,21,1,1,1,10,0.014843551
98,59884,661,53,32,21,3,3,7,7,0.005563876
99,59885,661,54,32,21,1,4,5,8,0.022276677
100,59886,661,55,32,21,2,2,6,3,0.040725965
101,59887,136,56,32,21,2,2,3,3,0.03534621
102,59888,852,57,32,21,2,5,2,2,0.05949485
103,59889,852,58,32,21,2,2,6,6,0.045393933
104,59890,136,59,32,21,1,1,5,10,0.015648913
105,59893,136,62,32,21,1,4,5,5,0.020305635
106,59894,136,63,32,21,3,1,7,1,0.009066524
107,59895,136,64,32,21,0,0,0,0,-1.0
108,59951,661,53,33,21,3,3,4,4,0.004019382
109,59952,661,54,33,21,1,4,5,5,0.016756237
110,59953,661,55,33,21,2,5,6,2,0.05342613
111,59954,661,56,33,21,2,2,6,6,0.04787737
112,59956,136,58,33,21,2,5,2,2,0.058096137
113,59959,978,61,33,21,1,1,1,1,0.0100715
114,59961,136,63,33,21,3,3,7,7,0.006293631
115,59962,136,64,33,21,0,0,0,0,-1.0
116,60018,661,53,34,21,3,3,4,9,0.00161629
117,60019,661,54,34,21,3,1,7,1,0.008837019
118,60020,661,55,34,21,2,2,6,3,0.04099463
119,60021,661,56,34,21,2,2,6,6,0.04496792
120,60022,978,57,34,21,2,2,3,12,0.031405527
121,60023,136,58,34,21,1,4,5,8,0.023857525
122,60026,978,61,34,21,3,3,7,4,0.00527958
123,60028,136,63,34,21,3,3,4,9,0.002517425
124,60029,1107,64,34,21,0,0,0,0,-1.0
125,60086,661,54,35,21,3,3,4,9,0.001514491
126,60087,661,55,35,21,3,1,1,1,0.009543445
127,60088,661,56,35,21,1,1,1,10,0.015087776
128,60089,978,57,35,21,3,3,7,7,0.00634162
129,60090,978,58,35,21,3,3,7,4,0.004949819
130,60091,978,59,35,21,3,1,7,7,0.007954675
131,60092,978,60,35,21,0,0,0,0,-1.0
132,60093,978,61,35,21,3,3,4,9,0.000880699
133,60157,978,58,36,21,3,3,4,9,0.000485305
134,62230,852,54,26,22,1,4,5,5,0.017753279
135,62238,852,62,26,22,1,4,5,5,0.018918486
136,62296,852,53,27,22,2,5,2,2,0.061848782
137,62297,852,54,27,22,1,4,5,5,0.016854258
138,62298,852,55,27,22,3,1,7,7,0.00767534
139,62302,852,59,27,22,3,1,7,7,0.007666179
140,62304,852,61,27,22,1,1,1,10,0.014390031
141,62305,852,62,27,22,1,1,1,10,0.014870731
142,62307,1098,64,27,22,0,0,0,0,-1.0
143,62363,852,53,28,22,1,4,3,12,0.02895001
144,62364,852,54,28,22,1,1,1,10,0.013966577
145,62365,852,55,28,22,1,1,1,1,0.00992668
146,62366,852,56,28,22,1,1,1,1,0.011045687
147,62368,852,58,28,22,3,3,7,7,0.005854412
148,62369,852,59,28,22,3,3,7,4,0.005353632
149,62370,852,60,28,22,0,0,0,0,-1.0
150,62371,852,61,28,22,1,1,1,10,0.012923847
151,62372,852,62,28,22,1,1,1,10,0.013555476
152,62373,1098,63,28,22,3,1,7,1,0.008773431
153,62374,1098,64,28,22,0,0,0,0,-1.0
154,62375,1098,65,28,22,0,0,0,0,-1.0
155,62430,136,53,29,22,3,1,7,7,0.007462265
156,62433,852,56,29,22,3,1,7,7,0.008426813
157,62434,852,57,29,22,1,1,1,1,0.010281705
158,62435,852,58,29,22,3,3,7,7,0.006896714
159,62436,852,59,29,22,3,3,7,7,0.005591154
160,62437,136,60,29,22,0,0,0,0,-1.0
161,62438,136,61,29,22,1,1,1,10,0.013780143
162,62439,136,62,29,22,1,4,5,8,0.02106283
163,62440,1098,63,29,22,1,1,1,10,0.013307745
164,62441,1098,64,29,22,0,0,0,0,-1.0
165,62442,1098,65,29,22,0,0,0,0,-1.0
166,62497,136,53,30,22,3,3,4,4,0.003140146
167,62498,852,54,30,22,1,1,1,10,0.014293979
168,62499,852,55,30,22,3,1,7,1,0.008819692
169,62500,852,56,30,22,3,1,7,7,0.00720712
170,62501,852,57,30,22,1,1,1,1,0.010355577
171,62502,852,58,30,22,1,1,1,1,0.011200154
172,62504,136,60,30,22,0,0,0,0,-1.0
173,62505,136,61,30,22,1,4,5,8,0.022288555
174,62506,136,62,30,22,2,2,3,3,0.03423088
175,62507,136,63,30,22,1,4,5,5,0.019555679
176,62508,136,64,30,22,0,0,0,0,-1.0
177,62509,1098,65,30,22,0,0,0,0,-1.0
178,62564,136,53,31,22,3,3,4,4,0.003970809
179,62565,136,54,31,22,1,4,5,5,0.019397635
180,62566,852,55,31,22,1,4,5,5,0.019539665
181,62567,136,56,31,22,1,1,1,10,0.015413065
182,62568,136,57,31,22,2,2,3,3,0.037900485
183,62569,136,58,31,22,1,4,3,12,0.027555974
184,62570,136,59,31,22,1,1,1,10,0.013943564
185,62572,136,61,31,22,1,4,5,8,0.0225089
186,62573,136,62,31,22,1,4,3,12,0.028697584
187,62574,136,63,31,22,1,1,1,10,0.015447916
188,62575,136,64,31,22,0,0,0,0,-1.0
189,62576,136,65,31,22,0,0,0,0,-1.0
190,62631,136,53,32,22,3,3,7,7,0.005539548
191,62632,136,54,32,22,1,4,5,8,0.023674503
192,62633,136,55,32,22,2,2,6,6,0.04382233
193,62634,136,56,32,22,2,5,6,6,0.048159674
194,62635,136,57,32,22,2,5,2,11,0.06524589
195,62636,136,58,32,22,2,2,6,6,0.0450434
196,62637,136,59,32,22,1,4,5,5,0.017429493
197,62638,136,60,32,22,0,0,0,0,-1.0
198,62640,1048,62,32,22,1,4,5,8,0.024242884
199,62641,136,63,32,22,1,1,1,1,0.010904887
200,62642,136,64,32,22,0,0,0,0,-1.0
201,62698,661,53,33,22,3,3,7,7,0.005929952
202,62699,661,54,33,22,1,4,5,8,0.02192067
203,62700,661,55,33,22,2,5,2,2,0.058480464
204,62701,661,56,33,22,2,5,2,2,0.0628234
205,62702,136,57,33,22,2,5,2,2,0.058221135
206,62703,939,58,33,22,2,5,6,6,0.05122891
207,62704,939,59,33,22,1,4,5,8,0.02370382
208,62705,939,60,33,22,0,0,0,0,-1.0
209,62709,1107,64,33,22,0,0,0,0,-1.0
210,62766,661,54,34,22,1,1,1,1,0.011835149
211,62767,661,55,34,22,2,2,6,6,0.04661692
212,62768,661,56,34,22,2,5,6,2,0.054639034
213,62769,978,57,34,22,2,2,3,3,0.035579596
214,62770,143,58,34,22,1,4,3,8,0.025445228
215,62772,143,60,34,22,0,0,0,0,-1.0
216,62775,1107,63,34,22,3,3,4,4,0.004567576
217,62836,978,57,35,22,1,1,1,1,0.011792681
218,62837,143,58,35,22,3,1,7,7,0.008454152
219,62838,978,59,35,22,1,1,1,10,0.013477107
220,62839,978,60,35,22,0,0,0,0,-1.0
221,62840,978,61,35,22,3,3,4,4,0.004380938
222,62903,978,57,36,22,3,3,4,9,0.002314481
223,62904,978,58,36,22,3,3,4,9,0.001853857
224,62905,978,59,36,22,3,3,4,9,0.002308767
225,62906,978,60,36,22,0,0,0,0,-1.0
226,62907,978,61,36,22,3,3,4,9,0.001238346
227,62971,978,58,37,22,3,3,4,9,0.000487916
228,64910,852,54,25,23,3,1,1,1,0.009690061
229,64977,852,54,26,23,1,1,1,1,0.011639903
230,64986,1098,63,26,23,1,1,1,1,0.011007247
231,65044,852,54,27,23,1,1,1,1,0.010567362
232,65045,852,55,27,23,3,1,7,7,0.007261973
233,65046,852,56,27,23,3,1,7,7,0.007624918
234,65051,852,61,27,23,1,1,1,10,0.014442334
235,65052,852,62,27,23,1,4,5,5,0.019454377
236,65053,1098,63,27,23,3,1,1,1,0.009512407
237,65054,1098,64,27,23,0,0,0,0,-1.0
238,65111,852,54,28,23,3,1,7,7,0.008482048
239,65112,852,55,28,23,3,1,7,1,0.009216579
240,65113,852,56,28,23,1,1,1,10,0.013573023
241,65114,852,57,28,23,1,1,1,1,0.011364684
242,65115,852,58,28,23,3,1,7,7,0.007825137
243,65116,852,59,28,23,3,3,4,4,0.004442448
244,65117,852,60,28,23,0,0,0,0,-1.0
245,65118,852,61,28,23,1,1,1,10,0.013809
246,65119,852,62,28,23,1,4,5,5,0.017780606
247,65120,1098,63,28,23,3,1,7,7,0.007832442
248,65121,1098,64,28,23,0,0,0,0,-1.0
249,65122,1098,65,28,23,0,0,0,0,-1.0
250,65177,136,53,29,23,3,3,7,7,0.006167146
251,65178,852,54,29,23,1,1,1,1,0.009827836
252,65179,852,55,29,23,3,1,7,7,0.008604416
253,65180,852,56,29,23,3,1,1,1,0.00944153
254,65181,852,57,29,23,3,1,7,1,0.009158093
255,65182,852,58,29,23,1,1,1,1,0.009882634
256,65183,852,59,29,23,3,3,7,4,0.005139116
257,65184,136,60,29,23,0,0,0,0,-1.0
258,65185,136,61,29,23,1,1,1,10,0.014617408
259,65186,136,62,29,23,1,4,5,5,0.018795354
260,65187,136,63,29,23,3,1,7,7,0.007593876
261,65188,136,64,29,23,0,0,0,0,-1.0
262,65189,1098,65,29,23,0,0,0,0,-1.0
263,65244,136,53,30,23,3,3,4,4,0.00303082
264,65245,136,54,30,23,1,1,1,10,0.015424748
265,65246,852,55,30,23,3,1,7,7,0.008424625
266,65247,136,56,30,23,3,1,7,7,0.007568756
267,65248,136,57,30,23,3,1,7,7,0.00715663
268,65249,136,58,30,23,1,1,1,10,0.01268422
269,65250,136,59,30,23,3,1,7,7,0.007693873
270,65251,136,60,30,23,0,0,0,0,-1.0
271,65252,136,61,30,23,1,1,1,10,0.015274818
272,65253,136,62,30,23,1,4,5,8,0.02189209
273,65254,136,63,30,23,1,1,1,1,0.010118975
274,65255,136,64,30,23,0,0,0,0,-1.0
275,65311,136,53,31,23,3,3,4,4,0.004281087
276,65312,136,54,31,23,1,4,5,5,0.019528523
277,65313,136,55,31,23,1,4,5,5,0.017141394
