Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
0,852,53,25,18,5,8,2,7,0,4
1,136,63,34,18,1,1,7,11,5,9
2,852,53,25,19,5,4,2,4,1,7
3,852,53,26,19,5,4,2,4,12,7
4,136,62,33,19,8,12,12,2,7,9
5,852,53,25,20,5,4,2,4,6,10
6,852,53,26,20,5,4,2,4,1,10
7,852,53,27,20,5,4,2,4,12,1
8,852,53,28,20,5,4,2,4,9,7
9,852,62,28,20,8,12,10,,4,8
10,852,53,29,20,5,4,2,4,0,7
11,136,62,29,20,8,12,10,,4,8
12,1098,63,29,20,8,0,4,,4,1
13,1098,64,29,20,0,0,0,12,10,0
14,852,54,30,20,5,4,2,4,0,5
15,852,55,30,20,5,4,9,4,7,7
16,136,59,30,20,10,12,5,,2,1
17,136,62,30,20,8,12,10,,4,8
18,1098,63,30,20,0,0,4,,4,1
19,1098,64,30,20,0,0,0,12,4,0
20,136,53,31,20,9,4,2,,9,7
21,852,54,31,20,5,4,2,,0,8
22,852,55,31,20,5,4,9,4,4,10
23,852,57,31,20,5,12,5,12,4,8
24,136,58,31,20,10,12,5,,7,5
25,136,59,31,20,10,12,5,12,7,1
26,136,62,31,20,8,0,10,2,10,8
27,1098,63,31,20,0,0,4,,4,7
28,136,53,32,20,2,8,2,,12,7
29,852,54,32,20,12,4,11,,0,5
30,136,59,32,20,10,12,5,12,7,1
31,136,62,32,20,8,0,10,2,10,10
32,136,63,32,20,0,0,12,2,4,4
33,661,53,33,20,6,2,11,1,12,4
34,661,55,33,20,11,4,11,0,10,12
35,852,58,33,20,5,4,3,,4,6
36,978,59,33,20,5,4,3,,7,10
37,136,62,33,20,8,0,12,2,7,7
38,136,63,33,20,8,0,12,2,2,9
39,136,64,33,20,0,0,12,2,3,0
40,661,53,34,20,6,2,7,11,12,9
41,661,54,34,20,1,1,7,1,0,4
42,661,55,34,20,11,4,11,0,4,8
43,661,56,34,20,11,4,11,0,6,5
44,978,58,34,20,9,4,3,1,0,5
45,978,59,34,20,9,4,3,10,7,7
46,978,60,34,20,9,4,3,10,10,0
47,136,63,34,20,4,6,12,10,4,9
48,661,54,35,20,1,1,7,11,1,9
49,661,55,35,20,1,1,7,6,4,4
50,661,56,35,20,1,10,7,6,6,4
51,978,58,35,20,1,1,7,11,9,9
52,978,59,35,20,1,1,7,11,1,9
53,852,53,26,21,11,4,2,4,0,3
54,852,53,27,21,11,4,2,4,9,3
55,852,60,27,21,10,12,8,12,6,0
56,852,62,27,21,8,12,10,12,10,5
57,1098,64,27,21,0,0,0,12,10,0
